# x(m)        A(m^2)       Q(m^3/s)     U(m/s)
     0.00000       1.20000       0.00000       0.00000
    10.00000       1.20000       0.00000       0.00000
    20.00000       1.20000       0.00000       0.00000
    30.00000       1.20000       0.00000       0.00000
    40.00000       1.20000       0.00000       0.00000
    50.00000       1.20000       0.00000       0.00000
    60.00000       1.20000       0.00000       0.00000
    70.00000       1.20000       0.00000       0.00000
    80.00000       1.20000       0.00000       0.00000
    90.00000       1.20000       0.00000       0.00000
   100.00000       1.20000       0.00000       0.00000
   110.00000       1.20000       0.00000       0.00000
   120.00000       1.20000       0.00000       0.00000
   130.00000       1.20000       0.00000       0.00000
   140.00000       1.20000       0.00000       0.00000
   150.00000       1.20000       0.00000       0.00000
   160.00000       1.20000       0.00000       0.00000
   170.00000       1.20000       0.00000       0.00000
   180.00000       1.20000       0.00000       0.00000
   190.00000       1.20000       0.00000       0.00000
   200.00000       1.20000       0.00000       0.00000
   210.00000       1.20000       0.00000       0.00000
   220.00000       1.20000       0.00000       0.00000
   230.00000       1.20000       0.00000       0.00000
   240.00000       1.20000       0.00000       0.00000
   250.00000       1.20000       0.00000       0.00000
   260.00000       1.20000       0.00000       0.00000
   270.00000       1.20000       0.00000       0.00000
   280.00000       1.20000       0.00000       0.00000
   290.00000       1.20000       0.00000       0.00000
   300.00000       1.20000       0.00000       0.00000
   310.00000       1.20000       0.00000       0.00000
   320.00000       1.20000       0.00000       0.00000
   330.00000       1.20000       0.00000       0.00000
   340.00000       1.20000       0.00000       0.00000
   350.00000       1.20000       0.00000       0.00000
   360.00000       1.20000       0.00000       0.00000
   370.00000       1.20000       0.00000       0.00000
   380.00000       1.20000       0.00000       0.00000
   390.00000       1.20000       0.00000       0.00000
   400.00000       1.20000       0.00000       0.00000
   410.00000       1.20000       0.00000       0.00000
   420.00000       1.20000       0.00000       0.00000
   430.00000       1.20000       0.00000       0.00000
   440.00000       1.20000       0.00000       0.00000
   450.00000       1.20000       0.00000       0.00000
   460.00000       1.20000       0.00000       0.00000
   470.00000       1.20000       0.00000       0.00000
   480.00000       1.20000       0.00000       0.00000
   490.00000       1.20000       0.00000       0.00000
   500.00000       1.20000       0.00000       0.00000
   510.00000       1.20000       0.00000       0.00000
   520.00000       1.20000       0.00000       0.00000
   530.00000       1.20000       0.00000       0.00000
   540.00000       1.20000       0.00000       0.00000
   550.00000       1.20000       0.00000       0.00000
   560.00000       1.20000       0.00000       0.00000
   570.00000       1.20000       0.00000       0.00000
   580.00000       1.20000       0.00000       0.00000
   590.00000       1.20000       0.00000       0.00000
   600.00000       1.20000       0.00000       0.00000
   610.00000       1.20000       0.00000       0.00000
   620.00000       1.20000       0.00000       0.00000
   630.00000       1.20000       0.00000       0.00000
   640.00000       1.20000       0.00000       0.00000
   650.00000       1.20000       0.00000       0.00000
   660.00000       1.20000       0.00000       0.00000
   670.00000       1.20000       0.00001       0.00001
   680.00000       1.19999       0.00003       0.00003
   690.00000       1.19998       0.00008       0.00007
   700.00000       1.19994       0.00023       0.00019
   710.00000       1.19983       0.00056       0.00046
   720.00000       1.19961       0.00137       0.00114
   730.00000       1.19909       0.00302       0.00251
   740.00000       1.19812       0.00668       0.00558
   750.00000       1.19606       0.01295       0.01082
   760.00000       1.19285       0.02552       0.02139
   770.00000       1.18673       0.04303       0.03626
   780.00000       1.17902       0.07451       0.06320
   790.00000       1.16586       0.10938       0.09382
   800.00000       1.15236       0.16469       0.14292
   810.00000       1.13274       0.21525       0.19003
   820.00000       1.11475       0.27862       0.24994
   830.00000       1.09669       0.33473       0.30522
   840.00000       1.08031       0.37112       0.34353
   850.00000       1.07543       0.40075       0.37264
   860.00000       1.07770       0.38767       0.35971
   870.00000       1.08956       0.34200       0.31388
   880.00000       1.10911       0.30509       0.27507
   890.00000       1.11397       0.27957       0.25097
   900.00000       1.10255       0.29914       0.27131
   910.00000       1.09124       0.35920       0.32916
   920.00000       1.08615       0.37107       0.34163
   930.00000       1.09278       0.32186       0.29453
   940.00000       1.10790       0.29854       0.26947
   950.00000       1.10748       0.32396       0.29252
   960.00000       1.08940       0.34238       0.31428
   970.00000       1.08637       0.33347       0.30696
   980.00000       1.10483       0.32387       0.29314
   990.00000       1.10881       0.32826       0.29604
  1000.00000       1.09045       0.33021       0.30282
  1010.00000       1.08649       0.31783       0.29253
  1020.00000       1.10424       0.32106       0.29075
  1030.00000       1.10832       0.35312       0.31860
  1040.00000       1.09431       0.34782       0.31785
  1050.00000       1.08887       0.29045       0.26674
  1060.00000       1.09275       0.28905       0.26451
  1070.00000       1.09990       0.35802       0.32550
  1080.00000       1.11228       0.37967       0.34135
  1090.00000       1.10657       0.34429       0.31113
  1100.00000       1.08380       0.29643       0.27351
  1110.00000       1.07771       0.25056       0.23249
  1120.00000       1.08584       0.28100       0.25878
  1130.00000       1.10491       0.36691       0.33207
  1140.00000       1.12804       0.42540       0.37711
  1150.00000       1.12546       0.44046       0.39136
  1160.00000       1.10798       0.35802       0.32313
  1170.00000       1.07438       0.25147       0.23406
  1180.00000       1.04574       0.14579       0.13941
  1190.00000       1.02391       0.07792       0.07610
  1200.00000       1.01184       0.03672       0.03629
  1210.00000       1.00524       0.01684       0.01675
  1220.00000       1.00228       0.00700       0.00698
  1230.00000       1.00090       0.00288       0.00288
  1240.00000       1.00035       0.00109       0.00109
  1250.00000       1.00013       0.00041       0.00041
  1260.00000       1.00005       0.00014       0.00014
  1270.00000       1.00002       0.00005       0.00005
  1280.00000       1.00001       0.00002       0.00002
  1290.00000       1.00000       0.00000       0.00000
  1300.00000       1.00000       0.00000       0.00000
  1310.00000       1.00000       0.00000       0.00000
  1320.00000       1.00000       0.00000       0.00000
  1330.00000       1.00000       0.00000       0.00000
  1340.00000       1.00000       0.00000       0.00000
  1350.00000       1.00000       0.00000       0.00000
  1360.00000       1.00000       0.00000       0.00000
  1370.00000       1.00000       0.00000       0.00000
  1380.00000       1.00000       0.00000       0.00000
  1390.00000       1.00000       0.00000       0.00000
  1400.00000       1.00000       0.00000       0.00000
  1410.00000       1.00000       0.00000       0.00000
  1420.00000       1.00000       0.00000       0.00000
  1430.00000       1.00000       0.00000       0.00000
  1440.00000       1.00000       0.00000       0.00000
  1450.00000       1.00000       0.00000       0.00000
  1460.00000       1.00000       0.00000       0.00000
  1470.00000       1.00000       0.00000       0.00000
  1480.00000       1.00000       0.00000       0.00000
  1490.00000       1.00000       0.00000       0.00000
  1500.00000       1.00000       0.00000       0.00000
  1510.00000       1.00000       0.00000       0.00000
  1520.00000       1.00000       0.00000       0.00000
  1530.00000       1.00000       0.00000       0.00000
  1540.00000       1.00000       0.00000       0.00000
  1550.00000       1.00000       0.00000       0.00000
  1560.00000       1.00000       0.00000       0.00000
  1570.00000       1.00000       0.00000       0.00000
  1580.00000       1.00000       0.00000       0.00000
  1590.00000       1.00000       0.00000       0.00000
  1600.00000       1.00000       0.00000       0.00000
  1610.00000       1.00000       0.00000       0.00000
  1620.00000       1.00000       0.00000       0.00000
  1630.00000       1.00000       0.00000       0.00000
  1640.00000       1.00000       0.00000       0.00000
  1650.00000       1.00000       0.00000       0.00000
  1660.00000       1.00000       0.00000       0.00000
  1670.00000       1.00000       0.00000       0.00000
  1680.00000       1.00000       0.00000       0.00000
  1690.00000       1.00000       0.00000       0.00000
  1700.00000       1.00000       0.00000       0.00000
  1710.00000       1.00000       0.00000       0.00000
  1720.00000       1.00000       0.00000       0.00000
  1730.00000       1.00000       0.00000       0.00000
  1740.00000       1.00000       0.00000       0.00000
  1750.00000       1.00000       0.00000       0.00000
  1760.00000       1.00000       0.00000       0.00000
  1770.00000       1.00000       0.00000       0.00000
  1780.00000       1.00000       0.00000       0.00000
  1790.00000       1.00000       0.00000       0.00000
  1800.00000       1.00000       0.00000       0.00000
